#note=RunA: for each dataset, two runs (CE baseline + best CEGS) with ADV suite + (C-suite on CIFAR10/100)
dataset	seed	stop	stop_val	lr	momentum	batch	workers	half_prec	variants	type	stage1_epochs	stage2_epochs	loss_stage1	loss_stage2	ecg_conf_type	ecg_detach_gates	ecg_schedule	ecg_lam	ecg_tau	ecg_k	ecg_lam_start	ecg_lam_end	ecg_tau_start	ecg_tau_end	ecg_k_start	ecg_k_end	ecg_tau_target	ecg_tau_lr	ecg_tau_ema	ecg_tau_deadzone	method_name	run_kind	pe_mode	force_run	env_IMAGENET_ORIGINAL	env_IMAGENET_RES	env_IMAGENET_DS_ROOT	env_DL_WORKERS	env_IMAGENET_TORCHVISION	wandb_project	wandb_group	wandb_name	eval_extra_every	eval_adv_suite	adv_attacks	adv_eps	adv_steps	adv_restarts	adv_alpha	adv_pixel	eval_c_suite	c_corruptions	c_severities	c_name	c_severity	imbalance	imb_factor	imb_seed	dump_gates	dump_gates_n
cifar10	0	epochs	60	0.01	0.9	64	0	False	none	std	60	0	ce	ce	none	True	none	0.40	0.60	8	0	0	0	0	0	0	0	0	0	0	CE_baseline	baseline								ecg-cifar10	RunA_Base_ADV_C	cifar10_CE_T60_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			none			True	2000
cifar10	0	epochs	60	0.01	0.9	64	0	False	none	std	60	0	ecg	ecg	pmax	True	linear	0.40	0.60	8	0.40	0.055	0.60	0.60	8	8					ECG_lin_lam0.40to0.055_tau0.60_k8_best	best								ecg-cifar10	RunA_Base_ADV_C	cifar10_s1-60-ecg_s2-0-ecg_pe-none_conf-pmax_sch-linear_lam0.40-0.055_tau0.60-0.60_k8-8_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			none			True	2000
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	60	0	ce	ce	none	True	none				0	0	0	0	0	0	0	0	0	0	CE_baseline	baseline	logk_rms	True						ecg-cifar100-pmax	RunA_Base_ADV_C	cifar100_CE_T60_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			none			True	2000
cifar100	0	epochs	60	0.1	0.9	64	0	True	none	std	15	45	ce	ecg	pmax	True	linear				0.00	1.50	0.75	0.95	12	35					c100_try_tau75_95_lam1p5_k12_35	ablation3	logk_rms	True						ecg-cifar100-pmax	RunA_Base_ADV_C	cifar100_s1-15-ce_s2-45-ecg_pe-logk_rms_conf-pmax_sch-linear_lam0.00-1.50_tau0.75-0.95_k12-35_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	True	gaussian_noise,brightness	5			none			True	2000
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ce	ce	none	True	none				0	0	0	0	0	0	0	0	0	0	CE_baseline	baseline	logk_rms	True						ecg-svhn-pmax	RunA_Base_ADV_C	svhn_CE_T60_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			True	2000
svhn	0	epochs	60	0.01	0.9	64	0	True	none	std	60	0	ecg	ecg	pmax	True	linear				0.05	0.20	0.77	0.99	7	14					svhn_pmax_lin_tau77_99_k7_14_lam05_20	ablation	logk_rms	True						ecg-svhn-pmax	RunA_Base_ADV_C	svhn_s1-60-ecg_s2-0-ecg_pe-logk_rms_conf-pmax_sch-linear_lam0.05-0.20_tau0.77-0.99_k7-14_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			True	2000
binaryCifar10	0	epochs	150	0.01	0.9	64	0	False	none	std	150	0	ce	ce	none	True	none				0	0	0	0	0	0	0	0	0	0	CE_baseline	baseline	logk_rms	True						ecg_binary_pmax	RunA_Base_ADV_C	binaryCifar10_CE_T150_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
binaryCifar10	0	epochs	150	0.01	0.9	64	0	False	none	std	40	110	ecg	ce	pmax	True	linear				0.05	0.15	0.65	0.93	8	15					seed0_long150_ecg40_ce110_base	finish	logk_rms	True						ecg_binary_pmax	RunA_Base_ADV_C	binaryCifar10_s1-40-ecg_s2-110-ce_pe-logk_rms_conf-pmax_sch-linear_lam0.05-0.15_tau0.65-0.93_k8-15_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	60	0	ce	ce	none	True	none				0	0	0	0	0	0	0	0	0	0	CE_baseline	baseline	logk_rms	True	0	32	/ocean/projects/cis260049p/zliu49/cegs_data/smallimagenet_32	0	0	cegs-imageNet32-pmax	RunA_Base_ADV_C	imageNet32_CE_T60_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
imageNet	0	epochs	60	0.1	0.9	256	0	True	none	std	60	0	ecg	ecg	pmax	True	linear				0.02	0.08	0.70	0.92	4	10					imagenet32_fast_best	best	logk_rms	True	0	32	/ocean/projects/cis260049p/zliu49/cegs_data/smallimagenet_32	0	0	cegs-imageNet32-pmax	RunA_Base_ADV_C	imageNet32_s1-60-ecg_s2-0-ecg_pe-logk_rms_conf-pmax_sch-linear_lam0.02-0.08_tau0.70-0.92_k4-10_RunA_Base_ADV_C	5	True	fgsm,pgd_linf,pgd_linf_rs	8	20	1		True	False					none			False	
